ID,Video,Illusion,Aesthetic_Score
1764454792049,output_with_sound_B_1_1,1,5
1764454792049,output_with_sound_B_1_2,0,2
1764454792049,output_with_sound_B_1_3,1,4
1764454792049,output_with_sound_B_1_4,1,5
1764469238301,output_with_sound_A_1_1,1,6
1764469238301,output_with_sound_A_1_2,1,6
1764469238301,output_with_sound_A_1_3,0,2
1764469238301,output_with_sound_A_1_4,1,5
1764469238301,output_with_sound_B_1_1,1,7
1764469238301,output_with_sound_B_1_2,0,2
1764469238301,output_with_sound_B_1_3,1,7
1764469238301,output_with_sound_B_1_4,1,5
1764471927030,output_with_sound_A_1_1,1,7
1764471927030,output_with_sound_A_1_2,1,5
1764471927030,output_with_sound_A_1_3,1,5
1764471927030,output_with_sound_A_1_4,1,5
1764471927030,output_with_sound_B_1_1,1,6
1764471927030,output_with_sound_B_1_2,1,6
1764471927030,output_with_sound_B_1_3,1,6
1764471927030,output_with_sound_B_1_4,1,6
1764464522351,output_with_sound_A_1_1,1,7
1764464522351,output_with_sound_A_1_2,1,7
1764464522351,output_with_sound_A_1_3,0,1
1764464522351,output_with_sound_A_1_4,1,7
1764464522351,output_with_sound_B_1_1,1,7
1764464522351,output_with_sound_B_1_2,1,7
1764464522351,output_with_sound_B_1_3,1,7
1764464522351,output_with_sound_B_1_4,1,7
1764466893656,output_with_sound_A_1_1,1,5
1764466893656,output_with_sound_A_1_2,1,5
1764466893656,output_with_sound_A_1_3,0,1
1764466893656,output_with_sound_A_1_4,0,1
1764466893656,output_with_sound_B_1_1,1,2
1764466893656,output_with_sound_B_1_2,0,2
1764466893656,output_with_sound_B_1_3,1,3
1764466893656,output_with_sound_B_1_4,0,1
1764449840466,output_with_sound_A_1_1,0,2
1764449840466,output_with_sound_A_1_2,0,2
1764449840466,output_with_sound_A_1_3,0,2
1764449840466,output_with_sound_A_1_4,0,1
1764449840466,output_with_sound_B_1_1,1,4
1764449840466,output_with_sound_B_1_2,0,3
1764449840466,output_with_sound_B_1_3,1,4
1764449840466,output_with_sound_B_1_4,0,1
1764465920569,output_with_sound_A_1_1,1,5
1764465920569,output_with_sound_A_1_2,1,6
1764465920569,output_with_sound_A_1_3,0,1
1764465920569,output_with_sound_A_1_4,1,1
1764465920569,output_with_sound_B_1_1,1,6
1764465920569,output_with_sound_B_1_2,1,1
1764465920569,output_with_sound_B_1_3,1,5
1764465920569,output_with_sound_B_1_4,1,2
1764470069410,output_with_sound_A_1_1,1,5
1764470069410,output_with_sound_A_1_2,1,5
1764470069410,output_with_sound_A_1_3,1,5
1764470069410,output_with_sound_A_1_4,1,5
1764470069410,output_with_sound_B_1_1,1,5
1764470069410,output_with_sound_B_1_2,1,5
1764470069410,output_with_sound_B_1_3,1,4
1764470069410,output_with_sound_B_1_4,1,5
1764465855257,output_with_sound_A_1_1,1,5
1764465855257,output_with_sound_A_1_2,1,4
1764465855257,output_with_sound_A_1_3,0,7
1764465855257,output_with_sound_A_1_4,0,1
1764465855257,output_with_sound_B_1_1,1,7
1764465855257,output_with_sound_B_1_2,0,3
1764465855257,output_with_sound_B_1_3,1,7
1764465855257,output_with_sound_B_1_4,0,5
1764460130501,output_with_sound_A_1_1,1,6
1764460130501,output_with_sound_A_1_2,1,7
1764460130501,output_with_sound_A_1_3,0,7
1764460130501,output_with_sound_A_1_4,1,7
1764460130501,output_with_sound_B_1_1,1,7
1764460130501,output_with_sound_B_1_2,0,7
1764460130501,output_with_sound_B_1_3,1,6
1764460130501,output_with_sound_B_1_4,0,7
1764449799534,output_with_sound_A_1_1,0,2
1764449799534,output_with_sound_A_1_2,0,1
1764449799534,output_with_sound_A_1_3,0,1
1764449799534,output_with_sound_A_1_4,0,1
